"month","monthly_sales"
"2014-01",14236.90
"2014-02",4519.92
"2014-03",55691.04
"2014-04",28295.35
"2014-05",23648.28
"2014-06",34595.14
"2014-07",33946.37
"2014-08",27909.47
"2014-09",81777.34
"2014-10",31453.37
"2014-11",78628.74
"2014-12",69545.64
"2015-01",18174.08
"2015-02",11951.40
"2015-03",38726.26
"2015-04",34195.25
"2015-05",30131.72
"2015-06",24797.31
"2015-07",28765.32
"2015-08",36898.32
"2015-09",64595.87
"2015-10",31404.90
"2015-11",75972.51
"2015-12",74919.52
"2016-01",18542.52
"2016-02",22978.82
"2016-03",51715.86
"2016-04",38750.04
"2016-05",56987.75
"2016-06",40344.54
"2016-07",39261.99
"2016-08",31115.35
"2016-09",73410.09
"2016-10",59687.80
"2016-11",79412.03
"2016-12",96999.07
"2017-01",43971.37
"2017-02",20301.12
"2017-03",58872.35
"2017-04",36521.52
"2017-05",44261.08
"2017-06",52981.73
"2017-07",45264.43
"2017-08",63120.85
"2017-09",87866.66
"2017-10",77776.96
"2017-11",118447.81
"2017-12",83829.31
