"product_name","total_profit"
"Canon imageCLASS 2200 Advanced Copier",25199.94
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",7753.06
"Hewlett Packard LaserJet 3310 Copier",6983.89
"Canon PC1060 Personal Laser Copier",4570.94
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4094.98
"Ativa V4110MDD Micro-Cut Shredder",3772.95
"3D Systems Cube Printer, 2nd Generation, Magenta",3717.97
"Plantronics Savi W720 Multi-Device Wireless Headset System",3696.28
"Ibico EPK-21 Electric Binding System",3345.29
"Zebra ZM400 Thermal Label Printer",3343.53
